time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,camera_detected,human_detected,laser_enabled
0.83000,120.00012,30.12197,160.07812,119.90355,0.07812,-0.09645,0.01343,-0.01688,0.00995,-0.04086,119.99664,30.09799,119.98669,30.13885,0.00000,0.00000,0.04205,true,true,false,true
0.84000,119.92091,30.18712,159.61726,120.27583,-0.38274,0.27583,-0.06575,0.04825,-0.00611,-0.02195,119.98058,30.11690,119.98669,30.13885,0.00000,0.00000,0.02279,true,true,false,true
0.85000,120.05538,30.19640,160.39964,120.32886,0.39964,0.32886,0.06865,0.05752,0.00975,-0.00509,119.99644,30.13376,119.98669,30.13885,0.00000,0.00000,0.01100,true,true,false,true
0.86000,119.95275,30.10296,159.80252,119.79492,-0.19748,-0.20508,-0.03393,-0.03588,0.00048,-0.01162,119.98717,30.12723,119.98669,30.13885,0.00000,0.00000,0.01163,true,true,false,true
0.87000,120.04814,30.22624,160.35751,120.49937,0.35751,0.49937,0.06140,0.08732,0.01341,0.00937,120.00010,30.14822,119.98669,30.13885,0.00000,0.00000,0.01636,true,true,false,true
0.88000,120.08734,30.05772,160.58558,119.53640,0.58558,-0.46360,0.10057,-0.08107,0.03190,-0.00982,120.01859,30.12903,119.98669,30.13885,0.00000,0.00000,0.03338,true,true,false,true
0.89000,120.12364,30.03982,160.79678,119.43412,0.79678,-0.56588,0.13681,-0.09893,0.05416,-0.02873,120.04085,30.11012,119.98669,30.13885,0.00000,0.00000,0.06131,true,true,false,true
0.90000,119.90373,29.99624,159.51731,119.18509,-0.48269,-0.81491,-0.08285,-0.14242,0.02509,-0.05285,120.01178,30.08600,119.98669,30.13885,0.00000,0.00000,0.05850,true,true,false,true
0.91000,119.94058,30.20690,159.73171,120.38886,-0.26829,0.38886,-0.04608,0.06801,0.00999,-0.02721,119.99668,30.11164,119.98669,30.13885,0.00000,0.00000,0.02898,true,true,false,true
0.92000,119.99219,29.99679,160.03198,119.18823,0.03198,-0.81177,0.00549,-0.14187,0.00903,-0.05153,119.99573,30.08732,119.98669,30.13885,0.00000,0.00000,0.05232,true,true,false,true
0.93000,119.99515,29.94186,160.04921,118.87435,0.04921,-1.12565,0.00844,-0.19662,0.00891,-0.08232,119.99560,30.05653,119.98669,30.13885,0.00000,0.00000,0.08280,true,true,false,true
0.94000,120.33630,30.03481,162.03408,119.40549,2.03408,-0.59451,0.34872,-0.10377,0.08101,-0.08687,120.06770,30.05198,119.98669,30.13885,0.00000,0.00000,0.11878,true,true,false,true
0.95000,120.11428,29.99648,160.74233,119.18646,0.74233,-0.81354,0.12741,-0.14218,0.09085,-0.09861,120.07755,30.04024,119.99396,30.12899,0.72683,-0.98605,0.12191,true,true,false,true
0.96000,120.02351,30.11462,160.17192,119.91789,0.17192,-0.08211,0.02954,-0.01437,0.07785,-0.08073,120.07181,30.04826,119.99396,30.12899,0.00000,0.00000,0.11215,true,true,false,true
